TEMPERATURE,BUBBLEPRESSURE,DEWPRESSURE
-10,5928672.71,2804549.78
-9.7818792,5934775.06,2822460.52
-9.5637584,5940966.24,2840451.63
-9.3456376,5947246.26,2858523.11
-9.1275168,5953615.11,2876674.95
-8.909396,5960072.8,2894907.15
-8.6912752,5966619.33,2913219.72
-8.4731544,5973254.69,2931612.66
-8.2550336,5979978.88,2950085.96
-8.0369128,5986791.91,2968639.63
-7.8187919,5993693.78,2987273.66
-7.6006711,6000684.48,3005988.06
-7.3825503,6007764.01,3024782.83
-7.1644295,6014932.38,3043657.96
-6.9463087,6022189.59,3062613.45
-6.7281879,6029535.63,3081649.31
-6.5100671,6036970.51,3100765.54
-6.2919463,6044494.22,3119962.13
-6.0738255,6052106.76,3139239.09
-5.8557047,6059808.14,3158596.41
-5.6375839,6067598.36,3178034.1
-5.4194631,6075477.41,3197552.16
-5.2013423,6083445.3,3217150.57
-4.9832215,6091502.02,3236829.36
-4.7651007,6099647.58,3256588.51
-4.5469799,6107881.97,3276428.03
-4.3288591,6116205.2,3296347.91
-4.1107383,6124617.26,3316348.15
-3.8926174,6133118.16,3336428.77
-3.6744966,6141707.89,3356589.75
-3.4563758,6150386.46,3376831.09
-3.238255,6159153.86,3397152.8
-3.0201342,6168010.1,3417554.87
-2.8020134,6176955.17,3438037.31
-2.5838926,6185989.08,3458600.12
-2.3657718,6195111.83,3479243.29
-2.147651,6204323.4,3499966.83
-1.9295302,6213623.82,3520770.73
-1.7114094,6223013.07,3541655
-1.4932886,6232491.15,3562619.63
-1.2751678,6242058.07,3583664.63
-1.057047,6251713.83,3604789.99
-0.83892617,6261458.42,3625995.72
-0.62080537,6271291.84,3647281.82
-0.40268456,6281214.1,3668648.28
-0.18456376,6291225.2,3690095.1
0.033557047,6301325.13,3711622.3
0.251677852,6311513.89,3733229.85
0.469798658,6321791.49,3754917.78
0.687919463,6332157.93,3776686.06
0.906040268,6342613.2,3798534.72
1.12416107,6353157.3,3820463.74
1.34228188,6363790.25,3842473.12
1.56040268,6374512.02,3864562.87
1.77852349,6385322.63,3886732.99
1.9966443,6396222.08,3908983.47
2.2147651,6407280.69,3931314.32
2.43288591,6419079.43,3953725.53
2.65100671,6430940.52,3976217.11
2.86912752,6442863.96,3998789.05
3.08724832,6454849.76,4021441.36
3.30536913,6466897.92,4044174.03
3.52348993,6479008.44,4066987.07
3.74161074,6491181.31,4090098.74
3.95973154,6503416.54,4114338.46
4.17785235,6515714.13,4138691.18
4.39597315,6528074.08,4163156.91
4.61409396,6540496.38,4187735.63
4.83221477,6552981.03,4212427.37
5.05033557,6565528.05,4237232.1
5.26845638,6578137.42,4262149.84
5.48657718,6590809.15,4287180.58
5.70469799,6603543.23,4312324.32
5.92281879,6616339.67,4337581.07
6.1409396,6629198.47,4362950.82
6.3590604,6642119.63,4388433.58
6.57718121,6655103.14,4414029.34
6.79530201,6668149.01,4439738.1
7.01342282,6681257.23,4465559.86
7.23154362,6694427.82,4491494.63
7.44966443,6707660.76,4517542.41
7.66778523,6720956.05,4543703.18
7.88590604,6734313.7,4569976.96
8.10402685,6747733.71,4596363.74
8.32214765,6761216.08,4622863.53
8.54026846,6774760.8,4649476.32
8.75838926,6788367.88,4676202.11
8.97651007,6802037.32,4703040.9
9.19463087,6815769.12,4729992.7
9.41275168,6829563.27,4757057.5
9.63087248,6843419.77,4784235.31
9.84899329,6857338.64,4811526.12
10.0671141,6871319.86,4838929.93
10.2852349,6885363.44,4866446.75
10.5033557,6899469.37,4894076.57
10.7214765,6913637.66,4921819.39
10.9395973,6927868.31,4949675.21
11.1577181,6942161.32,4977644.04
11.3758389,6956516.68,5005725.88
11.5939597,6970934.4,5033920.71
11.8120805,6985414.47,5062228.55
12.0302013,6999956.91,5090649.39
12.2483221,7014561.7,5119183.24
12.466443,7029228.84,5147830.09
12.6845638,7043958.35,5176589.94
12.9026846,7058750.21,5205462.8
13.1208054,7073604.42,5234448.66
13.3389262,7088521,5263547.52
13.557047,7103499.93,5292759.39
13.7751678,7118541.21,5322084.26
13.9932886,7133644.86,5351522.13
14.2114094,7148810.86,5381073.01
14.4295302,7165380.5,5410736.89
14.647651,7183943.34,5440513.77
14.8657718,7202432.16,5470403.66
15.0838926,7220846.97,5500406.55
15.3020134,7239187.76,5530522.44
15.5201342,7257454.55,5560751.34
15.738255,7275647.32,5591093.24
15.9563758,7293766.08,5621548.14
16.1744966,7311810.83,5652116.05
16.3926174,7329781.56,5682796.96
16.6107383,7347678.28,5713590.87
16.8288591,7365500.99,5744497.79
17.0469799,7383249.69,5775517.71
17.2651007,7400924.38,5806650.63
17.4832215,7418525.05,5837896.56
17.7013423,7436051.72,5869255.49
17.9194631,7453504.37,5900727.42
18.1375839,7470883.01,5932312.36
18.3557047,7488187.63,5964010.3
18.5738255,7505418.25,5998021.73
18.7919463,7522574.85,6033201.63
19.0100671,7539657.44,6068587.73
19.2281879,7556666.01,6104180.04
19.4463087,7573600.58,6139978.56
19.6644295,7590461.13,6175983.29
19.8825503,7607247.67,6212194.22
20.1006711,7623960.2,6248611.36
20.3187919,7640598.72,6285234.7
20.5369128,7657163.22,6322064.26
20.7550336,7673653.71,6359100.01
20.9731544,7690070.19,6396341.98
21.1912752,7706412.66,6433790.15
21.409396,7722681.12,6471444.53
21.6275168,7738875.56,6509305.12
21.8456376,7754995.99,6547371.91
22.0637584,7771042.41,6585644.91
22.2818792,7787014.82,6624124.12
22.5,7802913.21,6662809.53
22.7181208,7818737.59,6701701.15
22.9362416,7834487.96,6740798.97
23.1543624,7850164.32,6780103.01
23.3724832,7865766.67,6819613.25
23.590604,7881295,6859329.69
23.8087248,7896749.32,6899252.35
24.0268456,7912129.63,6939381.21
24.2449664,7927435.93,6979716.27
24.4630872,7942668.22,7020257.55
24.6812081,7957826.49,7061005.03
24.8993289,7972910.75,7101958.71
25.1174497,7987921,7143118.61
25.3355705,8009688.25,7184484.71
25.5536913,8033949.93,7226057.01
25.7718121,8055963.25,7267835.53
25.9899329,8075728.2,7309820.25
26.2080537,8093244.78,7352011.18
26.4261745,8108513,7394408.31
26.6442953,8121532.85,7437011.65
26.8624161,8132304.34,7479821.2
27.0805369,8140827.47,7522836.95
27.2986577,8147102.22,7566058.91
27.5167785,8151128.62,7609487.08
27.7348993,8140411.12,7653121.46
27.9530201,8125052.66,7715858.6
28.1711409,8109694.21,7786280.29
28.3892617,8094335.75,7858069.12
28.6073826,8078977.29,7931225.09
28.8255034,8063618.84,8005748.18
